symbol,time,entry_price,obi_dir,tps,window,entropy,exit_reason,duration_s,mfe_pct,mae_pct,dir_correct,move_t1s,move_t5s,move_t10s,move_t20s,move_t30s,move_t60s
BTCUSDT,22:31:32,76741.995,buy,71.98,300,0.2574,entropy_normalized,1.2,-0.0,-0.0292,,-0.0156,-0.0292,-0.0292,-0.0292,-0.0292,-0.0292
BTCUSDT,22:31:43,76759.995,buy,32.33,300,0.5482,entropy_normalized,5.2,0.0044,-0.013,,0.0,0.0044,-0.013,-0.013,-0.013,-0.013
ETHUSDT,22:31:41,2113.385,sell,44.11,300,0.806,entropy_normalized,7.6,0.0272,-0.0031,,-0.0012,0.0078,0.0272,0.0272,0.0272,0.0272
ETHUSDT,22:31:59,2112.965,buy,4.17,125,0.795,entropy_normalized,0.2,0.0073,0.0002,,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073
SOLUSDT,22:32:16,84.865,sell,5.84,175,0.8135,entropy_normalized,0.1,0.0177,0.0059,,0.0177,0.0177,0.0177,0.0177,0.0177,0.0177
ETHUSDT,22:32:07,2114.825,buy,24.29,300,0.6727,entropy_normalized,10.0,0.0537,-0.0002,,-0.0002,0.0225,0.0437,0.0437,0.0437,0.0437
BTCUSDT,22:32:07,76805.955,sell,39.17,300,0.2268,entropy_normalized,10.4,0.0,-0.0417,,0.0,-0.0105,-0.0416,-0.031,-0.031,-0.031
SOLUSDT,22:32:17,84.835,sell,6.3,189,0.8335,entropy_normalized,1.1,0.0059,-0.0059,,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059
ETHUSDT,22:32:57,2113.735,buy,29.42,300,0.5665,entropy_normalized,12.3,0.0234,-0.0069,,0.0059,0.0097,-0.0069,0.0012,0.0012,0.0012
BTCUSDT,22:32:58,76789.405,sell,25.47,300,0.5842,entropy_normalized,15.3,0.0187,-0.0,,0.0,0.0063,0.0187,0.0187,0.0187,0.0187
BTCUSDT,22:33:15,76775.085,sell,4.16,124,0.6744,entropy_normalized,1.9,0.0,-0.0049,,0.0,-0.0049,-0.0049,-0.0049,-0.0049,-0.0049
ETHUSDT,22:33:27,2112.595,sell,19.02,300,0.806,entropy_normalized,9.5,0.0154,-0.0002,,0.0002,0.0154,0.0083,0.0083,0.0083,0.0083
BTCUSDT,22:33:27,76756.005,sell,18.74,300,0.7895,entropy_normalized,10.0,0.0104,-0.031,,-0.0,0.0103,-0.0269,-0.0269,-0.0269,-0.0269
BTCUSDT,22:34:00,76786.005,sell,15.62,300,0.7415,entropy_normalized,8.5,0.0078,-0.0072,,0.0,0.0078,0.0078,0.0078,0.0078,0.0078
ETHUSDT,22:34:30,2112.975,sell,3.14,94,0.5798,entropy_normalized,2.1,0.0424,-0.0021,,-0.0002,0.023,0.023,0.023,0.023,0.023
BTCUSDT,22:34:25,76822.675,buy,25.28,300,0.5482,entropy_normalized,7.0,0.0,-0.0139,,-0.0,-0.0083,-0.0139,-0.0139,-0.0139,-0.0139
ETHUSDT,22:34:44,2112.105,sell,8.08,242,0.8145,entropy_normalized,2.1,-0.0002,-0.0045,,-0.0002,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045
SOLUSDT,22:35:02,84.815,sell,2.5,74,0.8004,entropy_normalized,0.1,0.0059,0.0059,,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059
BTCUSDT,22:35:10,76747.095,sell,66.47,300,0.2108,entropy_normalized,0.8,-0.0,-0.0183,,-0.0183,-0.0183,-0.0183,-0.0183,-0.0183,-0.0183
ETHUSDT,22:35:18,2112.445,sell,41.91,300,0.795,entropy_normalized,0.2,0.005,0.0002,,0.005,0.005,0.005,0.005,0.005,0.005
BTCUSDT,22:35:19,76798.005,sell,37.21,300,0.6181,entropy_normalized,0.4,0.0104,0.0,,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104
BTCUSDT,22:35:25,76757.305,sell,41.66,300,0.65,entropy_normalized,4.6,-0.0,-0.0191,,-0.0182,-0.0191,-0.0191,-0.0191,-0.0191,-0.0191
ETHUSDT,22:35:39,2112.935,buy,24.05,300,0.4795,entropy_normalized,4.6,0.0002,-0.0362,,-0.0092,-0.0362,-0.0362,-0.0362,-0.0362,-0.0362
BTCUSDT,22:35:39,76806.545,buy,23.38,300,0.6343,entropy_normalized,9.2,0.0,-0.0074,,-0.0074,-0.0074,0.0,0.0,0.0,0.0
BTCUSDT,22:35:52,76827.685,buy,16.88,300,0.6944,entropy_normalized,13.1,0.0,-0.0048,,0.0,-0.0012,-0.0,-0.0032,-0.0032,-0.0032
BTCUSDT,22:36:39,76856.005,sell,16.01,300,0.7722,entropy_normalized,5.0,0.0026,-0.0,,-0.0,0.0026,0.0026,0.0026,0.0026,0.0026
BTCUSDT,22:36:45,76854.005,sell,9.76,292,0.8471,entropy_normalized,1.3,0.0052,0.0,,0.0,0.0052,0.0052,0.0052,0.0052,0.0052
ETHUSDT,22:36:31,2114.995,buy,21.19,300,0.7351,entropy_normalized,15.8,0.0319,-0.0002,,-0.0002,0.0144,0.0258,0.0111,0.0111,0.0111
BTCUSDT,22:36:59,76817.225,sell,25.47,300,0.4795,entropy_normalized,8.3,0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ETHUSDT,22:37:00,2113.805,sell,15.94,300,0.7602,entropy_normalized,15.3,0.0144,0.0002,,0.0069,0.014,0.0106,0.0106,0.0106,0.0106
ETHUSDT,22:37:36,2115.055,sell,5.83,174,0.4975,entropy_normalized,0.7,0.0002,-0.0116,,-0.0116,-0.0116,-0.0116,-0.0116,-0.0116,-0.0116
BTCUSDT,22:37:30,76859.995,sell,29.18,300,0.3534,entropy_normalized,10.1,0.0,-0.0242,,-0.0,-0.0,-0.0149,-0.0054,-0.0054,-0.0054
ETHUSDT,22:37:41,2115.145,buy,6.41,192,0.7177,entropy_normalized,8.2,0.0002,-0.0102,,-0.0002,-0.0059,-0.0102,-0.0102,-0.0102,-0.0102
ETHUSDT,22:38:01,2114.425,sell,3.46,103,0.4277,entropy_normalized,8.0,0.0002,-0.0087,,0.0002,-0.005,-0.0064,-0.0064,-0.0064,-0.0064
BTCUSDT,22:38:03,76846.755,sell,8.93,267,0.7619,entropy_normalized,7.3,0.0,-0.0042,,-0.0,-0.0,-0.0042,-0.0042,-0.0042,-0.0042
BTCUSDT,22:38:17,76900.005,buy,46.64,300,0.2108,entropy_normalized,8.9,0.0023,-0.0182,,0.0023,-0.0052,-0.0182,-0.0182,-0.0182,-0.0182
ETHUSDT,22:38:17,2116.225,buy,30.19,300,0.8165,entropy_normalized,8.9,0.0002,-0.0295,,-0.0002,-0.0135,-0.0295,-0.0295,-0.0295,-0.0295
BTCUSDT,22:38:38,76884.915,buy,2.44,73,0.8272,entropy_normalized,0.2,0.0048,0.0,,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048
