symbol,sig_id,time,entry_price,obi_dir,tps,window,entropy,signal_duration_s,exit_reason,mfe_intra,t1s,t5s,t10s,t30s,t60s,t120s,t300s,t600s,t1200s,t1800s
BTCUSDT,19,08:30:09,74307.045,sell,14.5,300,0.6422,5.9,entropy_normalized,0.0,-0.0,-0.0,-0.0033,-0.0025,-0.0094,-0.087,0.0049,-0.0393,-0.2348,-0.205
ETHUSDT,25,08:32:09,2022.235,sell,24.9,300,0.6181,10.2,entropy_normalized,-0.0002,-0.0002,-0.0141,-0.0146,-0.0091,-0.0087,0.0047,0.0729,0.023,0.027,-0.155
BTCUSDT,20,08:33:03,74343.945,sell,13.1,300,0.7478,1.4,entropy_normalized,-0.0,-0.0,-0.0,-0.0123,0.0092,0.0256,0.0591,0.0836,0.0506,0.0046,-0.2683
ETHUSDT,26,08:35:11,2019.625,sell,22.4,300,0.5574,3.2,entropy_normalized,0.0309,0.0002,0.0305,0.0146,-0.0567,-0.0235,-0.0562,-0.1245,-0.1443,-0.2241,-0.277
BTCUSDT,21,08:35:15,74262.645,sell,25.8,300,0.6577,5.0,entropy_normalized,0.0,-0.0,-0.0,-0.0,-0.05,-0.0046,-0.0212,-0.0879,-0.1904,-0.2275,-0.3974
BTCUSDT,22,08:35:23,74262.645,sell,12.3,300,0.7478,1.7,entropy_normalized,-0.0,-0.0,0.0,-0.0158,-0.0337,-0.0279,-0.0212,-0.0879,-0.1957,-0.2275,-0.4019
BTCUSDT,23,08:36:26,74283.395,sell,19.4,300,0.7415,4.5,entropy_normalized,0.0112,0.0081,0.0112,0.0112,0.0067,0.0067,0.0022,-0.067,-0.2333,-0.2077,-0.3422
BTCUSDT,24,08:37:41,74283.455,sell,15.1,300,0.6801,8.7,entropy_normalized,0.0,-0.0,0.0,-0.0,0.0023,0.0109,-0.0653,-0.0475,-0.2292,-0.2457,-0.2801
BTCUSDT,25,08:40:02,74325.715,buy,10.3,300,0.6873,10.1,entropy_normalized,0.0157,0.0,0.0142,0.0157,0.0029,-0.0155,0.01,0.0699,0.2183,0.1522,0.3018
BTCUSDT,26,08:41:21,74333.155,buy,22.1,300,0.6944,9.7,entropy_normalized,0.0,-0.0,0.0,-0.0,-0.0104,-0.0045,-0.0096,0.1662,0.1691,0.2608,0.2026
BTCUSDT,27,08:42:07,74342.715,buy,15.3,300,0.5197,7.4,entropy_normalized,0.0,0.0,0.0,0.0,-0.0219,-0.049,0.009,0.1493,0.0206,0.2197,0.1452
ETHUSDT,27,08:42:45,2020.045,buy,15.1,300,0.5099,7.7,entropy_normalized,0.0131,0.0002,0.0002,0.0131,0.0399,0.0854,0.129,0.223,0.0374,0.2557,0.0933
BTCUSDT,28,08:42:46,74306.005,sell,20.1,300,0.7015,5.1,entropy_normalized,0.0,-0.0,-0.0,-0.0,-0.0269,-0.0269,-0.081,-0.1988,-0.0144,-0.2799,-0.1864
BTCUSDT,29,08:43:52,74326.005,buy,10.3,300,0.4583,8.7,entropy_normalized,0.0167,0.0006,0.0006,0.0315,0.0315,0.0996,0.135,0.2033,0.0497,0.3152,0.1541
BTCUSDT,30,08:44:44,74366.165,sell,38.6,300,0.4898,3.6,entropy_normalized,0.0,0.0,-0.0455,-0.0455,-0.0455,-0.0809,-0.1113,-0.1638,-0.0439,-0.2439,-0.1325
BTCUSDT,31,08:45:32,74422.915,buy,21.9,300,0.4583,7.4,entropy_normalized,0.0,-0.0,-0.0,0.0046,0.0046,0.0462,0.0507,0.0728,0.0272,0.1999,0.031
ETHUSDT,28,08:45:33,2023.905,sell,21.6,300,0.7478,0.3,entropy_normalized,0.0002,0.0002,-0.0002,0.0002,0.0002,-0.0561,-0.0556,-0.062,-0.0393,-0.1035,0.0571
BTCUSDT,32,08:51:30,74414.625,sell,58.9,300,0.5099,7.4,entropy_normalized,0.0197,0.0196,0.0197,0.0386,0.0309,0.0492,0.0694,-0.0339,-0.1636,-0.0929,-0.1803
BTCUSDT,33,08:51:43,74385.905,buy,28.5,300,0.4583,9.0,entropy_normalized,0.0,0.0,0.0,-0.0042,-0.0375,-0.0981,-0.0308,0.0749,0.1515,0.1086,0.2265
BTCUSDT,34,08:52:28,74380.305,sell,29.3,300,0.6801,2.8,entropy_normalized,0.0035,0.0031,0.0169,0.0219,0.0535,0.0461,-0.0078,-0.0909,-0.1752,-0.0863,-0.2367
ETHUSDT,29,08:52:42,2020.625,buy,26.2,300,0.5294,9.8,entropy_normalized,0.0092,0.0062,0.0092,0.029,0.0418,0.0601,0.1101,0.2378,0.217,0.072,0.2917
